Job Title,Profile
Director Toxicology & ADME,
"Associate Director, MS&T - TAPI","Master's degree in natural sciences, chemistry, pharmaceutical sciences, biotechnology, or a related field; an MBA is considered a valuable asset;
At least 10 years of experience in Pharmaceutical environment, particularly in API or intermediates manufacturing;
Proven leadership capabilities, with strong interpersonal skills to motivate, guide, and inspire a high-performing team;
Strategic mindset, capable of thinking critically and aligning procurement strategies with overall business goals;
Strong stakeholder management, with the ability to build, influence, and maintain effective relationships across internal and external stakeholders;
Independent decision-making skills, with the ability to work autonomously and resolve challenges efficiently;
Strong analytical expertise, capable of deriving actionable insights from complex data and presenting them effectively to stakeholders;
Innovative mindset, with a focus on finding creative solutions to complexed challenges and driving continuous improvement;
Agility and adaptability, thriving in dynamic environments and effectively managing changing priorities;
Collaborative approach, with the ability to navigate cross-functional environments and foster teamwork;
Multicultural competence, with a history of working successfully across various cultures and geographies;
Fluency in English, both written and spoken, enabling clear and effective communication."
"Group Head, Senior Immunologist, Immune Tolerance and Autoimmunity","Experience Highlights: Industry and/or academic research in immunology and drug discovery. Bringing molecules into development. Expertise in inflammation, immune regulation, and autoimmune diseases. Proven track record of collaboration with CROs, academic groups, and industrial partners. Successful leadership of multi-disciplinary project teams;
Soft and technical skills: Excellent interpersonal and communication skills. Proficient negotiation abilities. Strategic planning and foresight. Adaptability in dynamic environments. Recognized scientific expertise (inventorship, peer-reviewed publications). Cellular immunology and immunological assays. Strong knowledge of adaptive and innate immunity. Experience in immunology and inflammation disease areas;
Education: PhD-level in Immunology, Cellular immunologist with biopharmaceutical industry experience;
Languages: English (French desirable)."
"Director, Product Quality","Graduate Degree Life Science or other technical discipline required;
15+ years of total combined relevant experience. At least 2 years Plant experience; at least 5 years in Operations, Research and Development or Technical experience. Plant operational leadership experience preferred;
Expert knowledge and a comprehensive understanding of biological and/or pharmaceutical technologies;
Capable of understanding and overcoming differing cultural and language obstacles to providing solutions that satisfy both functional and local objectives;
Capable of analyzing data facts and informed opinion to direct the developments of effective action plans as well as the ability to problem solve;
Credible working relationship with plants."
Senior Scientist Bioanalytics,"PhD degree or equivalent experience;
At least 5 years of industry experience in the field of bioanalytical sciences;
Hands-on experience with ligand binding assay methods and platforms; experience with LC-MS technology for large molecules is a plus;
Experience in analyzing human samples in support of clinical trials, with a solid understanding of GCP/GCLP guidelines and other current global regulations;
Experience in the development and validation of PK, PD, and immunogenicity assays for large molecules, including knowledge of the respective regulatory guidelines;
Experience managing outsourced activities;
Excellent communication and interpersonal skills, with a passion for working in multidisciplinary teams and with external partners;
Strong regulatory writing and report writing skills;
Exceptional problem-solving skills;
Strong emphasis on quality;
Able to work independently;
Proactive and flexible, capable of thriving in the dynamic environment of a fast-growing biotech company."
Regulatory CMC Associate Director,"Essential Requirements:
Science degree (e.g. Chemistry, Pharmacy, Biochemistry, Biotechnology, Biology) or equivalent; advanced degree desired;
Minimum 8 years of regulatory CMC experience or 10 years pharmaceutical industry experience;
Extensive knowledge/experience in regulatory submission and approval processes and ability to solve complex CMC regulatory issues and requirements;
Proven ability to critically evaluate data from a broad range of scientific disciplines;
Demonstrated track record to successfully lead/work in interdisciplinary global teams; leading, planning and prioritizing activities simultaneously on multiple projects;
Demonstrated ability for innovative and big picture thinking;
Strong planning, negotiation, organizational and interpersonal skills;
Excellent written/spoken communication and negotiation skills in English."
Fermentation Scale-up Specialist,"About you:
5+ years of hands-on industrial fermentation experience;
MSc or PhD in Chemical Engineering, Biotechnology, Biochemistry, Biology, or a related field;
Extensive experience in scaling up fermentation processes from lab to full commercial scale, with a proven track record in plant start-up experience;
Expertise in running fermentations at various scales, with a focus on commercial-scale bioreactors;
Strong ability to interpret scientific data and a solid understanding of statistical analysis;
Excellent communicator, able to translate complex data into actionable decisions and effectively collaborate with internal and external stakeholders;
An open-mind and and a positive mindset to achieve results as a team;
A sense of urgency and a get-sh*t-done attitude.
What we promise you?
You get to work with a group of passionate scientists, working on challenging and meaningful projects;
This will be the journey of a lifetime - we are serious about our mission to reduce over 1 gigaton of CO2 and you can play a pivotal role in making that happen;
We live by our company values: Relentless Grit, Unreasonably Ambitious, Unconventional Thinking, Critical Urgency;
An inclusive, empowering and engaging work environment;
We understand that relocating can be a hassle, so if you don't live in Denmark, we will help out to give you a smooth transition;
Additional perks like pension, private health insurance, 30 days of PTO, and lots more!
If you have questions regarding the role, we would love to hear from you. Feel free to reach out at careers@again.bio. We look forward to hearing from you."
"Senior Pharmacovigilance Manager, Case Processing","Strong verbal, written and interpersonal communication skills with clients, external and internal staff;
Excellent project management skills;
High level of accuracy and attention to detail;
Excellent problem-solving skills and ability to resolve problems in a timely manner;
Able to work independently and collaboratively in a multi- disciplinary team;
Excellent organization, prioritization, project management and delegation skills, with strong attention to detail;
Advanced Knowledge of Pharmacovigilance;
Advanced knowledge of PV Systems, such as Oracle Argus Safety, ARISg, or other safety databases;
Self-motivated to maintain high efficiency and productivity levels and manage multiple projects and clients;
A Bachelor's degree or higher;
Seven years of related work experience;
Two years of people management experience."
"Director, Country Clinical Ops","What we’re looking for
Bachelor’s degree in life sciences, nursing degree, or equivalent related experience, plus extensive clinical research experience in a contract research organization, pharmaceutical or Biotechnology Company, including sometime in a leadership capacity or equivalent combination of education, training, and experience are required;
Extensive knowledge of and experience with GCP/ICH guidelines and other applicable regulations and/or regulatory requirements;
Demonstrated strong strategic, leadership, and tactical skills;
Knowledge of financial concepts related to forecasting, budgeting, proposal generation, and project budgeting;
Strong time management, technical and organizational skills and, the ability to work independently and within a team environment;
Demonstrated ability to self-direct tasks and set direction and priorities for others to achieve departmental goals;
Capacity to understand, communicate, explain, and put into detailed plans project concepts;
Demonstrated understanding of the workflow process, roles, and responsibilities of multiple functional areas;
Ability to anticipate and address critical issues and as well, develop contingency plans in an initiative-taking manner;
Must demonstrate proficiency in Microsoft Office Suite (Word, Excel, and PowerPoint), email, and voicemail. Ability to gain working knowledge in other applicable business tools and systems;
Requires above average diligence, accuracy, and organizational, interpersonal, change management and collaborative skills. This includes excellent communication and presentation skills, both written and spoken, with an ability to inform, influence, convince, and persuade. As well, requires the ability to hold challenging conversations and to engage across, amongst others, Project Delivery, Segment Lead, Sponsor and Functional Leaders;
Ability to travel as necessary (approximately 20%)."
"Senior Manager, Global External Manufacturing, Sterile Drug Product","Demonstrated track record in sterile small or large-molecule drug product manufacturing and supply chain execution and oversight in the pharmaceutical industry;
Experience in supply risk management. Possesses strong knowledge of industry and system best practices;
Experience and/or working understanding and application of manufacturing principles governed by current Good Manufacturing Practices (cGMP). Solid knowledge of worldwide regulatory requirements, including pharmaceutical ICH guidance;
Solid understanding of the contract manufacturing organization (CMO) landscape Knowledge of CMO capabilities and limitations for worldwide drug product manufacturing is a plus;
Ability to travel domestic and international up to 20% of the time is required;
Exceptional verbal and written communication skills, including ability to interact effectively with senior management;
Demonstrated ability to understand and contribute to resolution of complex situations.
Education:
consolidated years of progressively responsible experience including development, manufacturing, or outsourcing in a pharmaceutical/biotech organization and a BA or BS degree in science or engineering minimally required; OR
An MBA/MS degree can be substituted for relevant experience; OR
Ph.D. degree with no experience required (preference for 1-2 years of post-doc experience)."
